"Strike","Last","Chg","Bid","Ask","Vol","OI"
180,27.33,0,29.45,29.73,15,1
185,24.98,2.92,24.47,24.74,30,38
190,20.03,1.21,19.5,19.77,30,192
192.5,16.58,0,17.03,17.29,10,11
194,15.35,3.38,15.55,15.81,1,64
194.5,14.87,0.58,15.06,15.3,1,91
195,14.67,1.17,14.57,14.81,160,93
196,13.65,5.49,13.6,13.83,40,51
196.5,11.95,0,13.11,13.35,84,143
197,12.7,3.6,12.64,12.86,2,55
197.5,11.71,0,12.14,12.38,1,11
198,11.94,2.27,11.66,11.89,31,710
198.5,11.16,0.72,11.19,11.43,6,102
199,10.4,0.54,10.71,10.93,148,381
199.5,9.4,0,10.24,10.47,50,251
200,9.6,0.5,9.76,9.99,48,980
200.5,9.58,0.57,9.3,9.47,12,549
201,9.2,1.07,8.83,9.06,38,826
201.5,8.57,0.75,8.37,8.59,1171,2059
202,7.91,0.61,7.91,8.12,23,1210
202.5,7.55,0.57,7.46,7.67,6,2189
203,6.89,0.49,7.01,7.21,61,2381
203.5,6.55,0.4,6.58,6.77,213,1280
204,5.88,0.28,6.15,6.32,77,1331
204.5,5.88,0.75,5.72,5.89,123,1976
205,5.11,0.27,5.3,5.44,303,3740
205.5,4.83,0.27,4.89,5.04,372,4539
206,4.45,0.43,4.48,4.62,726,4853
206.5,4.05,0.39,4.1,4.2,464,2321
207,3.63,0.2,3.72,3.81,2444,4982
207.5,3.3,0.17,3.34,3.43,985,2882
208,2.99,0.33,2.99,3.07,2424,5618
208.5,2.61,0.28,2.63,2.73,1768,3132
208.8,2.63,0,0,0,1,8
209,2.29,0.25,2.31,2.38,3774,5693
209.5,1.98,0.22,2,2.06,1937,1942
210,1.71,0.19,1.7,1.76,5634,17540
210.5,1.41,0.17,1.43,1.48,1373,3788
211,1.17,0.13,1.19,1.21,2706,49421
211.5,0.96,0.09,0.96,1,797,12838
212,0.77,0.05,0.76,0.78,5727,5018
212.5,0.56,0.01,0.59,0.63,1156,12394
213,0.45,0.02,0.45,0.49,14746,5844
213.5,0.36,0.02,0.33,0.37,17791,2774
214,0.26,0,0.25,0.27,745,3690
214.5,0.19,-0.02,0.18,0.2,1425,2131
215,0.14,-0.02,0.13,0.15,11924,27261
215.5,0.12,0,0.1,0.11,845,3567
216,0.08,-0.01,0.07,0.09,157,2312
216.5,0.06,0.01,0.05,0.07,317,1711
217,0.06,-0.01,0.04,0.06,3080,3028
217.5,0.04,-0.01,0.03,0.05,433,2604
218,0.04,-0.01,0.03,0.04,23,375
218.5,0.04,0.01,0.02,0.04,9,2238
219,0.03,-0.01,0.02,0.04,2,1394
219.5,0.07,0,0.02,0.03,10,10
220,0.03,0,0.01,0.03,74,2377
222.5,0.02,0.01,0.01,0.02,5,3768
225,0.01,0,0.01,0.02,802,4253
227.5,0.01,0,0,0.01,25,2565
230,0.01,0,0,0.01,9003,4527
232.5,0.01,0,0,0.01,3200,3201
235,0.02,0,0,0.01,3,29
237.5,0.01,0,0,0.01,1318,1318
240,0.01,0,0,0.01,10,10
